Time,Measurement X,Measurement Y,Measurement Z,Current State,Correlation Output,Associated Track ID,Associated Position X,Associated Position Y,Associated Position Z,Association Type,Clusters Formed,Hypotheses Generated,Probability of Hypothesis,Best Report Selected
45820.54297,6.922367276722773,14.63727456522906,2.0171487122830505,Poss1,No,0,,,,New,,,,
45822.02334,6.814515597110716,14.45657574143273,1.9979678103459206,Poss1,Yes,0,1.8035730548303166,6.161033424774976,3.0360022850965667,Single,,,,
45822.21875,6.792238601880683,14.437369996804309,1.971090888157535,Tentative1,Yes,0,1.8035730548303166,6.161033424774976,3.0360022850965667,Single,,,,
45822.36328,6.809112897361014,14.40982434628863,1.9536028232136435,Firm,Yes,0,1.7711612482862498,6.109422370982361,3.006843660131446,Single,,,,
45822.55469,1.712337569176471,5.959648456170987,2.9205271303190434,Poss1,No,1,,,,New,,,
45822.55469,1.7319346258106694,5.988454836496271,2.9441007581342173,Poss1,No,2,,,,New,,,
45822.55469,1.7359866558608112,6.049913116028757,2.98058666206175,Poss1,No,3,,,,New,,,
45822.75391,6.7629656397720765,14.376246511118646,1.9062870365766527,Firm,Yes,0,1.733343563133752,6.019482283618713,2.9533437988907254,Single,,,,
45822.86328,6.756613184064626,14.357991412523946,1.9415845782166432,Firm,Yes,0,1.727241254799121,6.031489275404797,2.9524659953352814,Single,,,,
45822.97656,6.755495382029478,14.336459856072242,1.9791228177562397,Firm,Yes,0,1.758234814838724,6.152629500525258,3.01287168285706,Single,,,,
